K150;Golden Square Shopping;10.32.109.1;10.32.109.10
K151;North Shopping Fortaleza;10.32.101.1;10.32.101.10
K154;Salvador Norte Shopping;10.32.114.1;10.32.114.10
K155;Shopping Jardins;10.32.116.1;10.32.116.10
K156;Shopping Park Sul;10.32.113.1;10.32.113.10
K157;Shopping Riomar Aracaju;10.32.115.1;10.32.115.10
K158;Shopping Uberaba;10.32.122.1;10.32.122.10
K160;Itaborai Plaza Shopping;10.32.118.1;10.32.118.10
K161;Blumenau Norte Shopping;10.32.119.1;10.32.119.10
K162;Shopping SerraSul;10.32.117.1;10.32.117.10
K163;Parque Shopping Bahia;10.32.121.1;10.32.121.10
K164;Faria Lima;10.32.123.1;10.32.123.10
K165;Nacoes Shopping;10.32.120.1;10.32.120.10
K166;Shopping Piracicaba;10.32.15.1;10.32.15.10
K167;Shopping Boulevard Vila Velha;10.32.124.1;10.32.124.10
K168;Shopping Paralela;10.32.126.1;10.32.126.10
K169;Vila Romana;10.32.127.1;10.32.127.10
K170;Shopping da Ilha;10.32.129.1;10.32.129.10
K171;Shopping Sao Luis;10.32.128.1;10.32.128.10
K172;Shopping Center Lapa;10.32.125.1;10.32.125.10
K173;Shopping Jardim Norte;10.32.132.1;10.32.132.10
K174;Shopping Park Lagos;10.32.131.1;10.32.131.10
K175;Gravatai Shopping;10.32.130.1;10.32.130.10
K176;Santa Ursula;10.32.133.1;10.32.133.10
K177;Shopping Trimais;10.32.134.1;10.32.134.10
K178;Shopping Valinhos;10.32.135.1;10.32.135.10
K180;Caruaru;10.32.139.1;10.32.139.10
K181;Sider Shopping;10.32.141.1;10.32.141.10
K182;Paulista North Way Shopping;10.32.144.1;10.32.144.10
K183;Vale do Aco;10.32.147.1;10.32.147.10
K184;Shopping Cidade Sorocaba;10.32.148.1;10.32.148.10
K185;Shopping Patio Limeira;10.32.151.1;10.32.151.10
K186;Shopping Atrium;10.32.149.1;10.32.149.10
K187;Shopping Patio Maceio;10.32.142.1;10.32.142.10
K188;ParkShopping Brasilia;10.32.143.1;10.32.143.10
K189;Shopping Mangabeira;10.32.150.1;10.32.150.10
K190;Shopping Partage Campos;10.32.138.1;10.32.138.10
K191;Shopping Rio Anil;10.32.146.1;10.32.146.10
K192;Shopping Estacao Cuiaba;10.32.145.1;10.32.145.10
K193;Shopping Mestre Alvaro;10.32.140.1;10.32.140.10
K194;Catarina Fashion Outlet;10.32.152.1;10.32.152.10
